AuthorTag,Author
ABFT,"#Name Hisao Matsuno #Affiliation Komaba Open Laboratory, The University of Tokyo, 4-6-1 Komaba, Meguro-ku, Tokyo 153-8904, Japan. #Name Jun Sekine #Name Hirofumi Yajima #Name Takeshi Serizawa #Reference 18500833"
ABFU,"#Name Daisuke Kase #Affiliation Department of Protein Engineering, Cancer Institute, Japanese Foundation for Cancer Research, Toshima, Tokyo 170-8455. #Name John L Kulp #Name Masako Yudasaka #Name John Spencer Evans #Name Sumio Iijima #Name Kiyotaka Shiba #Reference 15379530"
ABFV,"#Name Mark J Pender #Affiliation Air Force Research Laboratory, Materials and Manufacturing Directorate, Wright-Patterson Air Force Base, Ohio 45433-7702, USA. #Name Laura A Sowards #Name Jeffrey D Hartgerink #Name Morley O Stone #Name Rajesh R Naik #Reference 16402784"
ABFW,"#Name Takeshi Serizawa #Affiliation Research Center for Advanced Science and Technology, The University of Tokyo, 4-6-1 Komaba, Meguro-ku, Tokyo 153-8904, Japan. serizawa@bionano.rcast.u-tokyo.ac.jp #Name Prapatsorn Techawanitchai #Name Hisao Matsuno #Reference 17492699"
ABFX,"#Name D Roberts #Affiliation Sandoz Agro Inc., Palo Alto, CA 94303-1104. #Name K Guegler #Name J Winter #Reference 7685302"
ABFY,"#Name D L Kooyman #Affiliation Nextran, Princeton, NJ 08536, USA. #Name S B McClellan #Name W Parker #Name P L Avissar #Name M A Velardo #Name J L Platt #Name J S Logan #Reference 8623148"
ABFZ,"#Name M Krook #Affiliation Pure and Applied Biochemistry, Center for Chemistry and Chemical Engineering, Lund University, Sweden. margareta.krook@tbiokem.lth.se #Name K Mosbach #Name O Ramström #Reference 9894906"
ABGA,"#Name C Jolivet-Reynaud #Affiliation Unité Mixte de Recherche 103, Centre National de la Recherche Scientifique-bioMérieux, 46 Allée d'Italie, Lyon Cedex 07, 69364, France. Colette.Jolivet@ens-bma.cnrs.fr #Name H Perron #Name P Ferrante #Name L Becquart #Name P Dalbon #Name B Mandrand #Reference 10600340"
ABGB,"#Name F Shakib #Affiliation Division of Molecular and Clinical Immunology, University of Nottingham, Faculty of Medicine & Health Sciences, Nottingham, NG7 2UH, United Kingdom. #Name D S Hooi #Name S J Smith #Name R Furmonaviciene #Name H F Sewell #Reference 10848928"
ABGC,"#Name Aaron K Sato #Affiliation Dyax Corp., One Kendall Square, Building 600, Suite 623, Cambridge, Massachusetts 02139, USA. asato@dynax.com #Name Daniel J Sexton #Name Lee A Morganelli #Name Edward H Cohen #Name Qi Long Wu #Name Greg P Conley #Name Zoya Streltsova #Name Stan W Lee #Name Mary Devlin #Name Daniel B DeOliveira #Name Jasmin Enright #Name Rachel B Kent #Name Charles R Wescott #Name Tom C Ransohoff #Name Arthur C Ley #Name Robert C Ladner #Reference 11934284"
ABGD,"#Name Jinbiao Zhan #Affiliation Department of Biochemistry, Zhejiang University Medical School, Zhejiang Province, Hangzhou 310006, PR China. jzhan2k@cmm.zju.edu.cn #Name Zheng Xia #Name Linhai Xu #Name Zhikun Yan #Name Keyi Wang #Reference 12890473"
ABGE,"#Name Karen A Augustine-Rauch #Affiliation Department of Reproductive Toxicology, GlaxoSmithKline Pharmaceuticals, King of Prussia, Pennsylvania, USA. karen.augustine@bms.com #Name Qin J Zhang #Name Jennifer L Leonard #Name Antony Chadderton #Name Michael J Welsh #Name Harshad K Rami #Name Mervyn Thompson #Name Laramie Gaster #Name Patrick J Wier #Reference 15472891"
ABGF,"#Name Yi-Jiun Chen #Affiliation Department of Life Science and Institute of Bioinformatics and Structural Biology, National Tsing Hua University, Hsinchu 30013, Taiwan, R.O.C. #Name Miin-Feng Wu #Name Yueh-hsiang Yu #Name Ming F Tam #Name Tsai-Yun Lin #Reference 15574836"
ABGG,"#Name Soo-Kwan Lee #Affiliation Biological Engineering Division, Department of Materials Science and Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA. #Name Dong Soo Yun #Name Angela M Belcher #Reference 16398491"
ABGH,"#Name Ting Chen #Affiliation State Key Laboratory of Pharmaceutical Biotechnology, Department of Biochemistry, Nanjing University, Nanjing 210093, China. #Name Jun Cui #Name Yan Liang #Name Xiaoban Xin #Name D Owen Young #Name Chun Chen #Name Pingping Shen #Reference 16413648"
ABGI,"#Name Yoichi Kumada #Affiliation Department of Bioscience and Biotechnology, Okayama University, 700-8530, Japan. #Name Yasuhide Tokunaga #Name Hiroyuki Imanaka #Name Koreyoshi Imamura #Name Takaharu Sakiyama #Name Shigeo Katoh #Name Kazuhiro Nakanishi #Reference 16599553"
ABGJ,"#Name Takaharu Sakiyama, Shunsuke Ueno, Koreyoshi Imamura, Kazuhiro Nakanishi #Reference 10.1016/j.molcatb.2003.12.019"
ABGK,"#Name Takeshi Serizawa #Affiliation Research Center for Advanced Science and Technology, The University of Tokyo, 4-6-1 Komaba, Meguro-ku, Tokyo 153-8904, Japan. t-serizawa@bionano.rcast.u-tokyo.ac.jp #Name Toshiki Sawada #Name Tatsuki Kitayama #Reference 17154206"
ABGL,"#Name Wu-Ping Peng #Affiliation Division of Swine Infectious Diseases, National Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, The Chinese Academy of Agricultural Sciences, 427 Maduan Street, Harbin 150001, Heilongjiang, China. #Name Qiang Hou #Name Zhao-He Xia #Name Dan Chen #Name Na Li #Name Yuan Sun #Name Hua-Ji Qiu #Reference 18485511"
ABGM,"#Name Soonsil Hyun #Affiliation Department of Chemistry & Education, Seoul National University, San 56-1 Shinlim-dong, Kwanak-ku, Seoul 151-742, Republic of Korea. #Name Eun Hye Lee #Name Jihye Park #Name Jaehoon Yu #Reference 18565751"
ABGN,"#Name T I Samoylova #Affiliation Scott-Ritchey Research Center, College of Veterinary Medicine, Auburn University, Alabama 36849, USA. #Name B F Smith #Reference 10204780"
ABGO,"#Name Bo Guo #Affiliation Institute of Immunology, Third Military Medical University, District Shapingba, Chongqing 400038, PR China. #Name Zheng-wei Ma #Name Hua Li #Name Gui-lian Xu #Name Ping Zheng #Name Bo Zhu #Name Yu-Zhang Wu #Name Qiang Zou #Reference 18502181"
ABGP,"#Name K Kjaergaard #Affiliation Department of Microbiology, Technical University of Denmark, DK-2800 Lyngby, Denmark. #Name J K Sørensen #Name M A Schembri #Name P Klemm #Reference 10618196"
ABGQ,"#Name Muriel S Meiring #Affiliation Department of Haematology and Cell Biology, University of the Free State, PO Box 339(G2), Bloemfontein 9300, South Africa. GNHMSMM@med.uovs.ac.za #Name Derek Litthauer #Name Jolan Hársfalvi #Name Veronica van Wyk #Name Philip N Badenhorst #Name Harry F Kotzé #Reference 12565725"
ABGR,"#Name Marzena Pazgier #Affiliation Institute of Human Virology, University of Maryland School of Medicine, 725 West Lombard Street, Baltimore, MD 21201, USA. #Name Min Liu #Name Guozhang Zou #Name Weirong Yuan #Name Changqing Li #Name Chong Li #Name Jing Li #Name Juahdi Monbo #Name Davide Zella #Name Sergey G Tarasov #Name Wuyuan Lu #Reference 19255450"
ABGS,"#Name K Gebhardt #Affiliation Biotechnology Centre of Oslo, University of Oslo, Norway. #Name V Lauvrak #Name E Babaie #Name V Eijsink #Name B H Lindqvist #Reference 9048419"
ABGT,"#Name G P Smith #Affiliation Division of Biological Sciences, University of Missouri, Columbia 65211. #Name J K Scott #Reference 7682645"
ABGU,#Name unknown #Reference http://www.neb.com/nebecomm/tech_reference/protein_tools/phdFaq.asp#4.13
ABGV,"#Name Alfredo Menendez #Affiliation Department of Molecular Biology and Biochemistry, Simon Fraser University, Burnaby, BC, Canada V5A 1S6. amenende@sfu.ca #Name Jamie K Scott #Reference 15620878"
ABGW,"#Name Claudia Charles-Niño #Affiliation Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México, AP 70228, Cuidad Universitaria, México, Distrito Federal 04510, Mexico. #Name Cesar Pedroza-Roldan #Name Monica Viveros #Name Goar Gevorkian #Name Karen Manoutcharian #Reference 21600948"
ABGX,"#Name R A Machado de Avila #Affiliation Departamento de Bioquímica e Imunologia, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, CEP 31270-901, Belo Horizonte-MG, Brazil. #Name S Stransky #Name M Velloso #Name P Castanheira #Name F S Schneider #Name E Kalapothakis #Name E F Sanchez #Name C Nguyen #Name F Molina #Name C Granier #Name C Chávez-Olórtegui #Reference 21763377"
ABGY,"#Name Ying-Hua Yang #Affiliation Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD 21201, USA. #Name Rajesh Rajaiah #Name Erkki Ruoslahti #Name Kamal D Moudgil #Reference 21768392"
ABGZ,"#Name Karlen Gazarian #Affiliation Departamento de Biología Molecular y Biotecnología, Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México (UNAM), México D,F,, Ciudad Universitaria, 04510, México. karlen@servidor.unam.mx. #Name Alvaro Aguilar Setién #Name Tatiana Gazarian #Name Sebastian Aguilar Pierle #Reference 21781322"
ABHA,"#Name Ga Young Lee #Affiliation Department of Biochemistry and Cell Biology, Cell and Matrix Research Institute, School of Medicine, Kyungpook National University, 101 Dongin 2Ga, Jung-Gu, Daegu 700-422, Republic of Korea. #Name Jong-Ho Kim #Name Goo Taeg Oh #Name Byung-Heon Lee #Name Ick Chan Kwon #Name In-San Kim #Reference 21781994"
ABHB,"#Name Jingwei Li #Affiliation Department of Pharmaceutics, School of Pharmacy, Fudan University, 826 Zhangheng Rd, Shanghai, 201203, People's Republic of China. #Name Qizhi Zhang #Name Zhiqing Pang #Name Yuchen Wang #Name Qingfeng Liu #Name Liangran Guo #Name Xinguo Jiang #Reference 21792566"
ABHC,"#Name J Hernández-Romano #Affiliation Centro de Investigación sobre Enfermedades Infecciosas, Instituto Nacional de Salud Pública, Avenida Universidad No. 655, Col. Santa María Ahuacatitlán, Cuernavaca, Morelos, CP62508 México. #Name M H Rodríguez #Name V Pando #Name J A Torres-Monzón #Name A Alvarado-Delgado #Name A N Lecona Valera #Name R Argotte Ramos #Name J Martínez-Barnetche #Name M C Rodríguez #Reference 21816124"
ABHD,"#Name Kristiina Aalto #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Anu Autio #Affiliation Turku PET Centre, University of Turku, Turku, Finland. #Name Elina A Kiss #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Kati Elima #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Yvonne Nymalm #Affiliation Structural Bioinformatics Laboratory, Department of Biosciences, Åbo Akademi University, Turku, Finland. #Name Tibor Z Veres #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Fumiko Marttila-Ichihara #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Heli Elovaara #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Tiina Saanijoki #Affiliation Turku PET Centre, University of Turku, Turku, Finland. #Name Paul R Crocker #Affiliation The Wellcome Trust Biocentre, College of Life Sciences, University of Dundee, Dow Street, Dundee DD1 5EH, United Kingdom. #Name Mikael Maksimow #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Eva Bligt #Affiliation Structural Bioinformatics Laboratory, Department of Biosciences, Åbo Akademi University, Turku, Finland. #Name Tiina A Salminen #Affiliation Structural Bioinformatics Laboratory, Department of Biosciences, Åbo Akademi University, Turku, Finland. #Name Marko Salmi #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Name Anne Roivainen #Affiliation Turku PET Centre, University of Turku, Turku, Finland. #Name Sirpa Jalkanen #Affiliation MediCity Research Laboratory and Department of Medical Microbiology and Immunology, University of Turku, Turku, Finland. #Reference 21821708"
ABHE,"#Name Takayasu Kawasaki #Affiliation Institute of Industrial Science, The University of Tokyo, Meguro-ku, Tokyo, Japan. #Name Kenji Onodera #Name Shunsuke Kamijo #Reference 21821948"
ABHF,"#Name Margaret H Magdesian #Affiliation Institute of Medical Biochemistry, Program in Biochemistry and Cellular Biophysics, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil. magdesian@bioqmed.ufrj.br #Name Matthias Gralle #Name Luiz H Guerreiro #Name Paulo José I Beltrão #Name Milena M V F Carvalho #Name Luís Eduardo da S Santos #Name Fernando G de Mello #Name Ricardo A M Reis #Name Sérgio T Ferreira #Reference 21829538"
ABHG,"#Name Georgia Porto #Affiliation Heart Institute, Instituto do Coração, School of Medicine, University of São Paulo, São Paulo, Brazil. #Name Ricardo J Giordano #Name Luciana C Marti #Name Beatriz Stolf #Name Renata Pasqualini #Name Wadih Arap #Name Jorge Kalil #Name Verônica Coelho #Reference 21829599"
ABHH,"#Name Wei Wang #Affiliation State Key Laboratory of Virology, Wuhan Institute of Virology, Chinese Academy of Sciences, Wuhan, PR China. #Name Yang Liu #Name Xiangyang Zu #Name Rui Jin #Name Gengfu Xiao #Reference 21856287"
ABHI,"#Name J de Moura #Affiliation Departamento de Bioquímica-Imunologia, ICB, UFMG, CP: 486, CEP: 31270-901, Belo Horizonte-MG, Brazil. #Name L Felicori #Name V Moreau #Name G Guimarães #Name C Dias-Lopes #Name L Molina #Name L M Alvarenga #Name P Fernandes #Name F Frézard #Name R R Ribeiro #Name C Fleury #Name C Nguyen #Name F Molina #Name C Granier #Name C Chávez-Olórtegui #Reference 21872636"
ABHJ,"#Name Dan Wu #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northeast Agricultural University, Harbin, China. #Name Guangxing Li #Name Chengfeng Qin #Name Xiaofeng Ren #Reference 21887228"
ABHK,"#Name Tracy Hsu #Affiliation Department of Chemical Engineering, University of California, Santa Barbara, CA 93106, USA. #Name Samir Mitragotri #Reference 21903933"
ABHL,"#Name Lin Su #Affiliation Institute of Basic Medical Sciences, Beijing, China. #Name Yan Kong #Name Chang-zheng Liu #Name Ke-gong Yang #Name Song-sen Chen #Reference 21906439"
ABHM,"#Name Hayriye V Erkizan #Affiliation Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC, USA. #Name Lauren J Scher #Name S Ellen Gamble #Name Julie S Barber-Rotenberg #Name Kamal P Sajwan #Name Aykut Üren #Name Jeffrey A Toretsky #Reference 21926473"
ABHN,"#Name Zengyan Wei #Affiliation Department of Chemistry and Biochemistry, City University of New York-Hunter College, 695 Park Avenue, New York, NY 10065, USA. #Name Yoshiaki Maeda #Name Hiroshi Matsui #Reference 21928455"
ABHO,"#Name Yan Liu #Affiliation Centre of Cell and Molecular Biology Experiment, Xiangya School of Medicine, Central South University (CSU), 410013 Tongzipo Road 172#, Changsha, Hunan, China. #Name Paul J Brindley #Name Qingren Zeng #Name Yuesheng Li #Name Jun Zhou #Name Yuxiao Chen #Name Shenghui Yang #Name Zuping Zhang #Name Biyuan Liu #Name Liting Cai #Name Donald P McManus #Reference 21930161"
ABHP,"#Name William J Placzek #Affiliation Sanford-Burnham Medical Research Institute, La Jolla, California 92037, USA. #Name Mattia Sturlese #Name Bainan Wu #Name Jason F Cellitti #Name Jun Wei #Name Maurizio Pellecchia #Reference 21953453"
ABHQ,"#Name B K Kay #Affiliation Department of Biology, University of North Carolina, Chapel Hill 27599-3280. #Name N B Adey #Name Y S He #Name J P Manfredi #Name A H Mataragnon #Name D M Fowlkes #Reference 8508960"
ABHR,"#Name Kira H Brämswig #Affiliation Department of Pathophysiology, Medical University Vienna, Vienna, Austria. #Name Regina Knittelfelder #Name Silke Gruber #Name Eva Untersmayr #Name Angelika B Riemer #Name Krisztina Szalai #Name Reinhard Horvat #Name Robert Kammerer #Name Wolfgang Zimmermann #Name Christoph C Zielinski #Name Otto Scheiner #Name Erika Jensen-Jarolim #Reference 17975163"
ABHS,"#Name William D Thomas #Affiliation Division of Biological Sciences, University of Missouri, Columbia, MO 65211, USA. #Name Miriam Golomb #Name George P Smith #Reference 20692225"
ABHT,#Name unknown #Reference http://acta.chem-soc.si/56/56-3-712.html
ABHU,"#Name Karlen Gazarian #Affiliation Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México, Ciudad Universitaria, México DF, 04510, Mexico. karlen@servidor.unam.mx #Name Tatiana Gazarian #Name José Iván Sánchez Betancourt #Name Rogelio A Alonso Morales #Reference 21764227"
ABHV,"#Name Hye-Yeon Park #Affiliation Department of Chemistry, College of Natural Sciences, Hanyang University, Seoul 133-791, Korea. #Name Kyoung-Jin Lee #Name Su-Jae Lee #Name Moon-Young Yoon #Reference 21979823"
ABHW,"#Name Nam Kyung Lee #Affiliation Laboratory of Animal Cell Biotechnology, Department of Agricultural Biotechnology, Seoul National University, Gwanak-gu, Seoul, Republic of Korea. #Name Hong Shin Kim #Name Kyung Hyun Kim #Name Eun-Bae Kim #Name Chong Su Cho #Name Sang Kee Kang #Name Yun Jaie Choi #Reference 21999821"
ABHX,"#Name Christina Siebke #Affiliation Moyne Institute for Preventive Medicine, School of Genetics and Microbiology, Trinity College Dublin, College Green, Dublin 2, Ireland. #Name Tharappel C James #Name Robert Cummins #Name Tony O'Grady #Name Elaine Kay #Name Ursula Bond #Reference 22002548"
ABHY,"#Name Jun Wu #Affiliation Department of Chemical Engineering, Columbia University, New York, New York, United States of America. #Name Jong Pil Park #Name Kevin Dooley #Name Donald M Cropek #Name Alan C West #Name Scott Banta #Reference 22003385"
ABHZ,"#Name Karlen G Gazarian #Affiliation Department of Molecular Biology and Biotechnology, Universidad Nacional Autónoma de México, Mexico. karlen@servidor.unam.mx #Name Carlos F Solis #Name Tatiana G Gazarian #Name Merrill Rowley #Name Juan P Laclette #Reference 22015270"
ABIA,"#Name Zhuokun Li #Affiliation Department of Biological sciences and Biotechnology, Tsinghua University, Beijing, China. #Name Jiusong Fan #Name Wenxiu Zhao #Name Lei Jin #Name Lan Ma #Reference 22033953"
ABIB,"#Name Thomas J Kean #Affiliation Orthopaedics Department, Case Western Reserve University, Cleveland, OH, USA. tkean@benaroyaresearch.org #Name Lori Duesler #Name Randell G Young #Name Alisher Dadabayev #Name Andrey Olenyik #Name Marc Penn #Name Joseph Wagner #Name David J Fink #Name Arnold I Caplan #Name James E Dennis #Reference 22047107"
ABIC,"#Name Jinpiao Lin #Affiliation Shanghai Institute of Immunology, Shanghai Jiao Tong University School of Medicine, Shanghai, China. #Name Rongfen Huo #Name Li Wang #Name Zhou Zhou #Name Yue Sun #Name Baihua Shen #Name Rongfang Wang #Name Ningli Li #Reference 22048717"
ABID,"#Name Xiangan Tu #Affiliation Department of Urology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou 510700, Guangdong, PR China. txabs9988@163.com #Name Jintao Zhuang #Name Wenwei Wang #Name Liang Zhao #Name Liangyun Zhao #Name Jiquan Zhao #Name Chunhua Deng #Name Shaopeng Qiu #Name Yuanyuan Zhang #Reference 22071019"
ABIE,"#Name Yadira Palacios-Rodríguez #Affiliation Laboratory of Peptide and Protein Chemistry, Centro de Investigación Príncipe Felipe, E-46012 Valencia, Spain. #Name Guillermo García-Laínez #Name Mónica Sancho #Name Anna Gortat #Name Mar Orzáez #Name Enrique Pérez-Payá #Reference 22065589"
ABIF,"#Name Zhejia Zhang #Affiliation Department of General Surgery, Xiangya Hospital, Central South University, Changsha, Hunan, P. R. China. #Name Linyong Xu #Name Zhiming Wang #Reference 22086793"
ABIG,"#Name Jia Liu #Affiliation Department of Biochemistry, School of Biological Science and Technology, Central South University, Changsha, 410013, Hunan, China. #Name Han-chun Chen #Name Zhou-zhou Rao #Name Md Asaduzzaman Khan #Name Xin-xing Wan #Name Ai-hua Xu #Name Nuo Zhang #Name Dian-zheng Zhang #Reference 22092230"
ABIH,"#Name M Houimel #Affiliation Institute of Biochemistry, University of Lausanne, Switzerland. #Name J P Mach #Name I Corthésy-Theulaz #Name B Corthésy #Name I Fisch #Reference 10411639"
ABII,"#Name Mehdi Houimel #Affiliation Laboratoire d'Immunopathologie Vaccinologie et Génétique Moléculaire, Institut Pasteur de Tunis, Tunisia. mehdi.houimel@pasteur.rns.tn #Name Luca Mazzucchelli #Reference 22100634"
ABIJ,"#Name Rowena Hancock #Affiliation Department of Pharmaceutical and Biological Chemistry, School of Pharmacy, London WC1N 1AX, UK. #Name Hélène C Bertrand #Name Tadayuki Tsujita #Name Shama Naz #Name Ayman El-Bakry #Name Jitnueng Laoruchupong #Name John D Hayes #Name Geoff Wells #Reference 22107959"
ABIK,"#Name Ruby Tiwari #Affiliation Department of Pediatrics, Child Health Research Center, University of Texas Medical Branch, Galveston, TX 77555-0366, USA. #Name Surendra S Negi #Name Benjamin Braun #Name Werner Braun #Name Anna Pomés #Name Martin D Chapman #Name Randall M Goldblum #Name Terumi Midoro-Horiuti #Reference 22123204"
ABIL,"#Name Maryam Hamzeh-Mivehroud #Affiliation Biotechnology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran. #Name Ali Mahmoudpour #Name Siavoush Dastmalchi #Reference 22136656"
ABIM,"#Name Rana Filfil #Affiliation Receptors, Signaling and Proteomics Group, Biotechnology Research Institute, National Research Council of Canada, Montréal, QC, Canada. #Name Béatrice Paul-Roc #Name Christiane Cantin #Name Umar Iqbal #Name Dmitri Tolkatchev #Name Anna Vinogradova #Name Ping Xu #Name Feng Ni #Name Maureen D O'Connor-McCourt #Name Anne E G Lenferink #Reference 22119929"
ABIN,"#Name Navneet Sharma #Affiliation Department of Biochemistry and Molecular Biology, University of Calgary, Calgary, Canada. navsharm@ucalgary.ca #Name Rajeev Kumar #Name Bernard Renaux #Name Mahmoud Saifeddine #Name Sandra Nishikawa #Name Koichiro Mihara #Name Rithwik Ramachandran #Name Morley D Hollenberg #Name Derrick E Rancourt #Reference 22132161"
ABIO,"#Name Mee Young Kim #Affiliation National Research Laboratory for RNA Cell Biology, Brain Korea 21 Graduate Program for RNA Biology, Institute of Nanosensor and Biotechnology, and Department of Molecular Biology, Dankook University, Yongin 448-701, Korea. iris1774@dankook.ac.kr #Name Ok Ran Kim #Name Yong Seok Choi #Name Heuiran Lee #Name Keerang Park #Name Choon-Taek Lee #Name Keon Wook Kang #Name Sunjoo Jeong #Reference 22138765"
ABIP,"#Name Xin Wang #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northeast Agricultural University, Xiangfang District, Harbin, China. #Name Guangxing Li #Name Yudong Ren #Name Xiaofeng Ren #Reference 22163050"
ABIQ,"#Name Yanwei Zhong #Affiliation Institute of Infectious Diseases, Beijing 302 Hospital, Beijing, China. zhongyanwei@126.com #Name Jiong Cai #Name Chuanfu Zhang #Name Xiaoyan Xing #Name Enqiang Qin #Name Jing He #Name Panyong Mao #Name Jun Cheng #Name Kun Liu #Name Dongping Xu #Name Hongbin Song #Reference 22171803"
ABIR,"#Name Mehdi Houimel #Affiliation Laboratoire d'Immunologie, Vaccinologie et Génétique Moléculaire, Institut Pasteur de Tunis, Tunisia. mehdi.houimel@pasteur.rns.tn #Name Luca Mazzucchelli #Reference 22189418"
ABIS,"#Name Elena V Surovtseva #Affiliation Department of Otolaryngology, University of Tampere, Tampere, Finland. Elena.Surovtseva@uta.fi #Name Alexander H Johnston #Name Weikai Zhang #Name Ya Zhang #Name Adele Kim #Name Michio Murakoshi #Name Hiroshi Wada #Name Tracey A Newman #Name Jing Zou #Name Ilmari Pyykkö #Reference 22227343"
ABIT,"#Name Christopher R So #Affiliation Genetically Engineered Materials Science and Engineering Center, Department of Materials Science and Engineering, University of Washington, Seattle, Washington 98195, United States. #Name Yuhei Hayamizu #Name Hilal Yazici #Name Carolyn Gresswell #Name Dmitriy Khatayevich #Name Candan Tamerler #Name Mehmet Sarikaya #Reference 22233341"
ABIU,"#Name Xiaojun Weng #Affiliation Department of Orthopaedics, Xiangya Hospital, Central South University, 87 Xiangya Road, Changsha, Hunan, PR China. #Name Qiande Liao #Name Kanghua Li #Name Yong Li #Name Meng Mi #Name Da Zhong #Reference 22236882"
ABIV,"#Name Thorsten Schwemmer #Affiliation Humboldt-Universität zu Berlin, Department of Chemistry, Laboratory for Organic Synthesis of Functional Systems, Brook-Taylor-Strasse 2, D-12489 Berlin, Germany. #Name Jens Baumgartner #Name Damien Faivre #Name Hans G Börner #Reference 22239472"
ABIW,"#Name Camila Pistelli Caldini #Affiliation Departamento de Microbiologia, Imunologia e Parasitologia, Universidade Federal de São Paulo-Escola Paulista de Medicina, Disciplina de Imunologia, Rua Botucatu, 862, 4º andar, São Paulo, 04023-900, Brazil. #Name Patricia Xander #Name Érika Seki Kioshima #Name André Luis Lacerda Bachi #Name Zoilo Pires de Camargo #Name Mário Mariano #Name José Daniel Lopes #Reference 22249604"
ABIX,"#Name Jean-Daniel Malcor #Affiliation Institut des Biomolécules Max-Mousseron, UMR5247 CNRS, UFR des Sciences Pharmaceutiques et Biologiques, Universités Montpellier I et II, 15 Avenue Charles Flahault, 34093 Montpellier Cedex 5, France. #Name Nadine Payrot #Name Marion David #Name Aude Faucon #Name Karima Abouzid #Name Guillaume Jacquot #Name Nicolas Floquet #Name Franck Debarbieux #Name Geneviève Rougon #Name Jean Martinez #Name Michel Khrestchatisky #Name Patrick Vlieghe #Name Vincent Lisowski #Reference 22257077"
ABIY,"#Name Andrew F Kolodziej #Affiliation EPIX Pharmaceuticals, Inc., Cambridge, Massachusetts, USA. #Name Shrikumar A Nair #Name Philip Graham #Name Thomas J McMurry #Name Robert C Ladner #Name Charles Wescott #Name Daniel J Sexton #Name Peter Caravan #Reference 22263840"
ABIZ,"#Name Hubert Buczkowski #Affiliation Institute for Animal Health, Pirbright Laboratory, Woking, Surrey, GU24 0NF, United Kingdom. #Name Satya Parida #Name Dalan Bailey #Name Thomas Barrett #Name Ashley C Banyard #Reference 22265946"
ABJA,"#Name Kuo-Chih Lin #Affiliation Department of Life Science and Institute of Biotechnology, National Dong Hwa University, Taiwan 974, Republic of China. #Name Chih-Yuan Chen #Name Chih-Wei Chang #Name Kuo-Jien Huang #Name Shih-Pin Lin #Name Shih-Hung Lin #Name Ding-Kwo Chang #Name Meei-Ru Lin #Name David Shiuan #Reference 22314514"
ABJB,"#Name Zhenxing Shao #Affiliation Institute of Sports Medicine, Peking University Third Hospital, Haidian District, Beijing 100191, PR China. #Name Xin Zhang #Name Yanbin Pi #Name Xiaokun Wang #Name Zhuqing Jia #Name Jingxian Zhu #Name Linghui Dai #Name Wenqing Chen #Name Ling Yin #Name Haifeng Chen #Name Chunyan Zhou #Name Yingfang Ao #Reference 22322196"
ABJC,"#Name Linda D Stewart #Affiliation School of Biological Sciences, Queen's University Belfast, Medical Biology Centre, Belfast, Northern Ireland, United Kingdom. #Name James McNair #Name Lyanne McCallan #Name Suzan Thompson #Name Leonid A Kulakov #Name Irene R Grant #Reference 22322353"
ABJD,"#Name Arulkumaran Shanmugam #Affiliation Department of Microbiology and Immunology, New York Medical College, Valhalla, New York, United States of America. #Name Shilpi Rajoria #Name Andrea L George #Name Abraham Mittelman #Name Robert Suriano #Name Raj K Tiwari #Reference 22363498"
ABJE,"#Name Sakshi Dhingra #Affiliation Department of Biotechnology, All India Institute of Medical Sciences, New Delhi, India. #Name Kohinoor Kaur #Name Neetu K Taneja #Name Jaya S Tyagi #Reference 22372912"
ABJF,"#Name Whirang Cho #Affiliation Department of Chemical and Biomolecular Engineering and Center for Molecular and Engineering Thermodynamics, University of Delaware, 150 Academy Street, Newark, Delaware 19716, USA. #Name Jeffrey D Fowler #Name Eric M Furst #Reference 22404231"
