Reference,Date,Author
21496351,2011 Apr 18,"#Name Kalyan K Pasumarthy #Affiliation International Centre for Genetic Engineering and Biotechnology, Aruna Asaf Ali Marg, New Delhi-110067, India. #Name Sunil K Mukherjee #Name Nirupam R Choudhury"
21533529,2011 Aug,"#Name Hui-min Zheng #Affiliation Department of Biochemical Pharmacy, School of Pharmacy, Second Military Medical University, Shanghai, 200433, People's Republic of China. #Name Yun Jiang #Name Ju-rong Wang #Name Xue-lian Gong #Name Bao-yu Guo"
21539876,2011 Jun,"#Name Arulkumaran Shanmugam #Affiliation Department of Microbiology and Immunology, New York Medical College, Valhalla, New York 10595, USA. #Name Robert Suriano #Name Devyani Chaudhuri #Name Shilpi Rajoria #Name Andrea George #Name Abraham Mittelman #Name Raj K Tiwari"
21544611,2011 Sep,"#Name Li Zhang #Affiliation College of Materials Science and Engineering, Sichuan University, No. 24, South 1st Section, 1st Ring Road, Chengdu, Sichuan 610065, People's Republic of China. #Name Guangfu Yin #Name Danhong Yan #Name Yan Wei #Name Chuying Ma #Name Zhongbing Huang #Name Xiaoming Liao #Name Yadong Yao #Name Xianchun Chen #Name Baoqing Hao"
21567665,2011 Aug,"#Name Daeyoung Han #Affiliation Department of Bioscience and Biotechnology, Hankuk University of Foreign Studies, Yong-In, Gyung-Gi Do 449-791, Korea. #Name Seong Huh #Name Heejoon Myung"
21573118,2011 May 06,"#Name Julia Latzka #Affiliation Department of Pathophysiology and Allergy Research, Center for Pathophysiology, Infectiology and Immunology, Medical University of Vienna, Vienna, Austria. #Name Sonja Gaier #Name Gerlinde Hofstetter #Name Nina Balazs #Name Ursula Smole #Name Soldano Ferrone #Name Otto Scheiner #Name Heimo Breiteneder #Name Hubert Pehamberger #Name Stefan Wagner"
21592685,2011 Nov 21,"#Name Suwittra Chaemchuen #Affiliation Medical Microbiology, Interdisciplinary Program, Graduate School, Chulalongkorn University, Pathumwan, Bangkok 10330, Thailand. #Name Suang Rungpragayphan #Name Yong Poovorawan #Name Kanitha Patarakul"
21611873,2011 Oct,"#Name Bin Qin #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri, 64108, USA. #Name Wanyi Tai #Name Ravi S Shukla #Name Kun Cheng"
21695105,2011 Jun,"#Name Liesbeth Carolien Van Nieuwenhove #Affiliation Department of Parasitology, Institute of Tropical Medicine, Antwerp, Belgium. lvnieuwenhove@itg.be #Name Stijn Rogé #Name Fatima Balharbi #Name Tessa Dieltjens #Name Thierry Laurent #Name Yves Guisez #Name Philippe Büscher #Name Veerle Lejon"
21713010,2011,"#Name Pei-Wen Tsai #Affiliation Institute of Molecular and Cellular Biology, National Tsing Hua University, Hsinchu, Taiwan. #Name Cheng-Yao Yang #Name Hao-Teng Chang #Name Chung-Yu Lan"
21624651,2011 Sep,"#Name Yanbin Pi #Affiliation Institute of Sports Medicine, Peking University Third Hospital, 49 North Garden Road, Haidian District, Beijing 100083, PR China. #Name Xin Zhang #Name Junjun Shi #Name Jinxian Zhu #Name Wenqing Chen #Name Chenguang Zhang #Name Weiwei Gao #Name Chunyan Zhou #Name Yingfang Ao"
21596749,2011 Jul 15,"#Name Vaibhav Tiwari #Affiliation Departments of Ophthalmology and Visual Sciences, University of Illinois, Chicago, Illinois 60612, USA. #Name Jian Liu #Name Tibor Valyi-Nagy #Name Deepak Shukla"
21683670,2011 Jul 08,"#Name Alexes C Daquinag #Affiliation The Brown Foundation Institute of Molecular Medicine for the Prevention of Human Diseases, The University of Texas Health Science Center at Houston, TX 77030, USA. #Name Yan Zhang #Name Felipe Amaya-Manzanares #Name Paul J Simmons #Name Mikhail G Kolonin"
21610657,2011 May 24,"#Name Mihoko Takami #Affiliation Department of Applied Biological Science, Faculty of Science and Technology, Tokyo University of Science, 2641 Yamazaki, Noda, Chiba 278-8510, Japan. #Name Yoichi Takakusagi #Name Kouji Kuramochi #Name Senko Tsukuda #Name Satoko Aoki #Name Kengo Morohashi #Name Keisuke Ohta #Name Susumu Kobayashi #Name Kengo Sakaguchi #Name Fumio Sugawara"
10.1002/adma.200500863,2005 Sep 22,"#Name M. Umetsu,  M. Mizuta,  K. Tsumoto,  S. Ohara,  S. Takami,  H. Watanabe,  I. Kumagai, T. Adschiri"
10219262,1999 Apr,"#Name K Manoutcharian #Affiliation Instituto de Investigaciones Biomedicas, Universidad Nacional Autonoma de Mexico, Mexico. #Name J Sotelo #Name E Garcia #Name A Cano #Name G Gevorkian"
11157741,2001 Feb 01,"#Name R Stoll #Affiliation Max Planck Institute of Biochemistry, D-82152 München, Germany. #Name C Renner #Name M Zweckstetter #Name M Brüggert #Name D Ambrosius #Name S Palme #Name R A Engh #Name M Golob #Name I Breibach #Name R Buettner #Name W Voelter #Name T A Holak #Name A K Bosserhoff"
11376846,2001 Jul,"#Name S C Wu #Affiliation Department of Life Science, National Tsing Hua University, 30013, Taiwan, Hsinchu, PR China. #Name C W Lin"
11562993,2001 Apr,"#Name J Wölcke #Affiliation Max-Planck-Instiut für molekulare Physiologie, Abteilung Physikalische Biochemie, Otto-Hahn-Str. 11, D-44227 Dortmund, Germany. #Name E Weinhold"
7980552,1994 Oct 28,"#Name M Krook #Affiliation Department of Pure and Applied Biochemistry, Chemical Center, Lund, Sweden. #Name K Mosbach #Name C Lindbladh"
11923297,2002 Jun 07,"#Name Paul J Brett #Affiliation Department of Medical Microbiology, Royal Free and University College Medical School, Royal Free Campus, University College London, Rowland Hill Street, London NW3 2PF. #Name Harmale Tiwana #Name Ian M Feavers #Name Bambos M Charalambous"
15755589,2005 Mar 18,"#Name Anastas Pashov #Affiliation Department of Pathology, University of Arkansas for Medical Sciences, ACRC #824, UAMS, 4301 Markham Street, Little Rock, AR 72205, USA. #Name Gabriela Canziani #Name Stewart Macleod #Name Jason Plaxco #Name Behjatolah Monzavi-Karbassi #Name Thomas Kieber-Emmons"
16603084,2006 Apr 08,"#Name Blanca Arnaiz #Affiliation Moyne Institute for Preventive Medicine, Department of Microbiology, University of Dublin, Trinity College, Dublin 2, Ireland. #Name Laura Madrigal-Estebas #Affiliation Institute of Immunology & Department of Biology, National University of Ireland, Maynooth, Co. Kildare, Ireland. #Name Stephen Todryk #Affiliation Centre for Clinical Vaccinology and Tropical Medicine, Churchill Hospital, Oxford OX3 7LJ, UK. #Name Tharappel C James #Affiliation Moyne Institute for Preventive Medicine, Department of Microbiology, University of Dublin, Trinity College, Dublin 2, Ireland. #Name Derek G Doherty #Affiliation Institute of Immunology & Department of Biology, National University of Ireland, Maynooth, Co. Kildare, Ireland. #Name Ursula Bond #Affiliation Moyne Institute for Preventive Medicine, Department of Microbiology, University of Dublin, Trinity College, Dublin 2, Ireland."
18583538,2008 Oct,"#Name Jing Nie #Affiliation Hope Heart Program, Benaroya Research Institute at Virginia Mason, Seattle, Washington, USA. #Name Benny Chang #Name Dmitry O Traktuev #Name Jessica Sun #Name Keith March #Name Lawrence Chan #Name E Helene Sage #Name Renata Pasqualini #Name Wadih Arap #Name Mikhail G Kolonin"
10.1021/jp809370z,2009 Feb 19,"#Name Lifeng Zheng, Dheeraj Jain and Peter Burke #Affiliation Department of Electrical Engineering and Computer Science, University of California, Irvine, California 92697"
10.1021/nl049825n,2004 Apr 30,"#Name Brian D. Reiss, Chuanbin Mao, Daniel J. Solis, Katherine S. Ryan‖, Thomas Thomson, and Angela M. Belcher #Affiliation Department of Materials Science and Engineering, Division of Biological Engineering, Department of Chemistry, and Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, Hitachi San Jose Research Center, San Jose, California 95120, and Department of Chemistry and Biochemistry, Institute of Cellular and Molecular Biology, University of Texas at Austin, Austin, Texas 78712"
1443536,1992 Aug 01,"#Name R W Barrett #Affiliation Department of Molecular Pharmacology, Affymax Research Institute, Palo Alto, California 94304. #Name S E Cwirla #Name M S Ackerman #Name A M Olson #Name E A Peters #Name W J Dower"
8666827,1996 Jun 01,"#Name C Prezzi #Affiliation P. Angeletti Institute for Research in Molecular Biology, Rome, Italy. #Name M Nuzzo #Name A Meola #Name P Delmastro #Name G Galfrè #Name R Cortese #Name A Nicosia #Name P Monaci"
11520599,2001 Oct 10,"#Name J Zhang #Affiliation Division of Cytogenetics, German Cancer Research Center, Im Neuenheimer Feld 280, 69120 Heidelberg, Germany. zhang0jb@yahoo.com #Name H Spring #Name M Schwab"
14500347,2003 Sep 01,"#Name Satoshi Takahashi #Affiliation Center for Cell and Gene Therapy, Baylor College of Medicine, Houston, Texas 77030, USA. #Name Hoyin Mok #Name M Brandon Parrott #Name Frank C Marini #Name Michael Andreeff #Name Malcolm K Brenner #Name Michael A Barry"
20708963,2011 Jan,"#Name Tamara Menéndez #Affiliation Center for Genetic Engineering and Biotechnology, PO Box 6162, Havana, Cuba. tamara.menendez@cigb.edu.cu #Name Nelson F Santiago-Vispo #Name Yoelys Cruz-Leal #Name Edelgis Coizeau #Name Hilda Garay #Name Osvaldo Reyes #Name Yaima Batista #Name Karem Cobas #Name Tania Carmenate #Name Glay Chinea #Name Gerardo Guillén"
21486998,2011 Apr 26,"#Name Jinpeng Wang #Affiliation Department of Mechanical Engineering, University of California, Santa Barbara, CA 93106, USA. #Name Yanli Liu #Name Tambet Teesalu #Name Kazuki N Sugahara #Name Venkata Ramana Kotamrajua #Name Jonathan D Adams #Name Brian S Ferguson #Name Qiang Gong #Name Seung Soo Oh #Name Andrew T Csordas #Name Minseon Cho #Name Erkki Ruoslahti #Name Yi Xiao #Name H Tom Soh"
21697352,2011 Oct,"#Name Nicole C Donker #Affiliation Enteric Virus Group, Murdoch Childrens Research Institute, Royal Children's Hospital, Parkville, Victoria 3052, Australia. ncdonker@students.latrobe.edu.au #Name Michael Foley #Name Debra C Tamvakis #Name Ruth Bishop #Name Carl D Kirkwood"
19539948,2009 Sep 15,"#Name Elias Estephan #Affiliation Groupe d'Etude des Semi-conducteurs, UMR 5650, CNRS-Université Montpellier II, 34095 Montpellier Cedex 5, France. #Name Marie-belle Saab #Name Christian Larroque #Name Marta Martin #Name Fredrik Olsson #Name Sebastian Lourdudoss #Name Csilla Gergely"
19095030,2009 Feb 11,"#Name A J Read #Affiliation The University of Melbourne, Veterinary Clinical Centre, 250 Princes Highway, Werribee, Victoria 3030, Australia. andrew.j.read@dpi.nsw.gov.au #Name J L Casey #Name A M Coley #Name M Foley #Name C G Gauci #Name D C Jackson #Name M W Lightowlers"
16386888,2006 Apr 15,"#Name Tsukasa Oyama #Affiliation Division of Translational Research, Department of Internal Medicine, University of Texas Southwestern Medical Center, 5323 Harry Hines Building, Dallas, TX 75390-9185, USA. #Name Irene T Rombel #Name Kausar N Samli #Name Xin Zhou #Name Kathlynn C Brown"
13679612,2003 Oct,"#Name Han-Chung Wu #Affiliation Graduate Institute of Oral Biology, College of Medicine, National Taiwan University, Taipei, Taiwan 100, Republic of China. hcw0928@ha.mc.ntu.edu.tw #Name Mei-Ying Jung #Name Chien-Yu Chiu #Name Ting-Ting Chao #Name Szu-Chia Lai #Name Jia-Tsrong Jan #Name Men-Fang Shaio"
11830668,2002 Feb 05,"#Name Wadih Arap #Affiliation Cancer Research Center, The Burnham Institute, La Jolla, CA 92037, USA. #Name Wolfgang Haedicke #Name Michele Bernasconi #Name Renate Kain #Name Daniel Rajotte #Name Stanislaw Krajewski #Name H Michael Ellerby #Name Dale E Bredesen #Name Renata Pasqualini #Name Erkki Ruoslahti"
11562257,2001 Sep,"#Name S J Deng #Affiliation Department of Molecular Sciences, GlaxoSmithKline Research and Development, 5 Moore Drive, Research Triangle Park, NC 27709, USA. sjd20506@gsk.com #Name W Liu #Name C A Simmons #Name J T Moore #Name G Tian"
17360703,2007 May 11,"#Name Elizabeth E Norgett #Affiliation Department of Medical Genetics, Department of Medicine and Division of Renal Medicine, University of Cambridge, Cambridge, UK. #Name Katherine J Borthwick #Name Rafia S Al-Lamki #Name Ya Su #Name Annabel N Smith #Name Fiona E Karet"
18363413,2008 May 06,"#Name Justyn W Jaworski #Affiliation Joint Graduate Group in Bioengineering, University of California, Berkeley, and University of California, San Francisco, California 94720, USA. #Name Digvijay Raorane #Name Jin H Huh #Name Arunava Majumdar #Name Seung-Wuk Lee"
18297085,2008 Mar,"#Name Zhaozhong Han #Affiliation Department of Radiation Oncology, School of Medicine, Vanderbilt University, 1301 22nd Avenue South, B902 TVC, Nashville, Tennessee 37232, USA. #Name Allie Fu #Name Hailun Wang #Name Roberto Diaz #Name Ling Geng #Name Halina Onishko #Name Dennis E Hallahan"
18582017,2008 Jul 24,"#Name Elias Estephan #Affiliation Groupe d'Etude des Semi-conducteurs, UMR 5650, CNRS-Universite Montpellier II, 34095 Montpellier Cedex 5, France. #Name Christian Larroque #Name Frédéric J G Cuisinier #Name Zoltán Bálint #Name Csilla Gergely"
19137069,2009,"#Name De-Kuan Chang #Affiliation Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name Chin-Tarng Lin #Name Chien-Hsun Wu #Name Han-Chung Wu"
18271563,2008 Mar,"#Name Mustafa Gungormus #Affiliation University of Washington, Seattle, Washington, USA. #Name Hanson Fong #Name Il Won Kim #Name John Spencer Evans #Name Candan Tamerler #Name Mehmet Sarikaya"
11707616,2001 Sep,"#Name A M Coley #Affiliation Department of Biochemistry, La Trobe University, Bundoora, 3083, Victoria, Australia. #Name N V Campanale #Name J L Casey #Name A N Hodder #Name P E Crewther #Name R F Anders #Name L M Tilley #Name M Foley"
10427007,1999 Aug,"#Name Q Yuan #Affiliation Departments of Botany and Plant Pathology, Michigan State University, East Lansing, Michigan 48824, USA. hartL@pilot.msu.edu #Name J J Pestka #Name B M Hespenheide #Name L A Kuhn #Name J E Linz #Name L P Hart"
16258189,2005 Nov,"#Name Mojca Lunder #Affiliation Department of Pharmaceutical Biology, Faculty of Pharmacy, University of Ljubljana, Ljubljana, Slovenia. mojca.lunder@ffa.uni-lj.si #Name Tomaz Bratkovic #Name Bojan Doljak #Name Samo Kreft #Name Uros Urleb #Name Borut Strukelj #Name Nadja Plazar"
21423613,2011 Mar 15,"#Name Hirokazu Shiheido #Affiliation Department of Biosciences and Informatics, Keio University, Yokohama, Japan. #Name Hideaki Takashima #Name Nobuhide Doi #Name Hiroshi Yanagawa"
21136209,2011 Jun,"#Name Teruaki Kobayashi #Affiliation ZoeGene Corporation, 1000 Kamoshida-cho, Aoba-ku, Yokohama, Kanagawa, 227-8502, Japan. 6205732@cc.m-kagaku.co.jp #Name Minako Kakui #Name Tatsuro Shibui #Name Yasunori Kitano"
20181936,2010 Jul,"#Name Nobutaka Matsumura #Affiliation Department of Biosciences and Informatics, Keio University, 3-14-1 Hiyoshi, Kohoku-ku, Yokohama 223-8522, Japan. #Name Toru Tsuji #Name Takeshi Sumida #Name Masahito Kokubo #Name Michiko Onimaru #Name Nobuhide Doi #Name Hideaki Takashima #Name Etsuko Miyamoto-Sato #Name Hiroshi Yanagawa"
18855146,2009 Feb,"#Name Miwa Shiratori #Affiliation ZOEGENE Corporation Realigned with MOLECUENCE Corporation, Mitsubishi Chemical Group Yokohama Research Center, 1000 Kamoshida-cho, Aoba-ku, Yokohama, Kanagawa, 227-8502, Japan. #Name Teruaki Kobayashi #Name Tatsuro Shibui"
18824687,2008 Oct 07,"#Name Alexander Litovchick #Affiliation Howard Hughes Medical Institute, Center for Computational and Integrative Biology, Massachusetts General Hospital, 185 Cambridge Street, Boston, MA 02114, USA. #Name Jack W Szostak"
17879061,2007 Oct,"#Name Song Yan #Affiliation School of Environmental Science and Engineering, Dalian Jiaotong University, Dalian 116028, China. #Name RongLi Niu #Name Zheng Wang #Name XiuKun Lin"
17685586,2007 Sep 04,"#Name Bao-Cheng Huang #Affiliation School of Pharmacy and Carolina Center for Genome Sciences, The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, USA. #Name Rihe Liu"
16122707,2005 Oct 07,"#Name Kwabena P A B Yiadom #Affiliation Department of Chemistry, Georgetown University, Washington, DC 20057, USA. #Name Seid Muhie #Name David C H Yang"
15980016,2005 Jul,"#Name William W Ja #Affiliation Division of Chemistry and Chemical Engineering, California Institute of Technology, M/C 147-75, Pasadena, CA 91125, USA. #Name Brett N Olsen #Name Richard W Roberts"
15248784,2004 Jul 20,"#Name William W Ja #Affiliation Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, California 91125, USA. #Name Richard W Roberts"
12670537,2003 Mar,"#Name Shuwei Li #Affiliation Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA 91125, USA. #Name Richard W Roberts"
12573700,2003 Jan,"#Name Nikolai A Raffler #Affiliation Kekulé-Institut für Organische Chemie und Biochemie, Rheinische Friedrich-Wilhelms-Universität Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany. #Name Jens Schneider-Mergener #Name Michael Famulok"
11675487,2001 Oct 23,"#Name J E Barrick #Affiliation Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena CA 91125, USA. #Name T T Takahashi #Name J Ren #Name T Xia #Name R W Roberts"
12203838,2002 May,"#Name Rick Baggio #Affiliation Phylos Inc., 128 Spring St, Lexington, MA 02421, USA. rbaggio@phylos.com #Name Petra Burgstaller #Name Stephen P Hale #Name Andrew R Putney #Name Meghan Lane #Name Dasa Lipovsek #Name Martin C Wright #Name Richard W Roberts #Name Rihe Liu #Name Jack W Szostak #Name Richard W Wagner"
12758084,2003 May 30,"#Name Thorsten Lamla #Affiliation Institut für Biochemie, Freie Universität Berlin, Germany. #Name Volker A Erdmann"
16269342,2005 Nov,"#Name Hong-Yan Wu #Affiliation Department of Immunology, Wuhan University School of Medicine, Donghu Road 115#, Wuhan 430071, PR China. #Name Xiao-Lian Zhang #Name Qin Pan #Name Jianguo Wu"
16878349,2006 Oct,"#Name Qiuhong Xie #Affiliation National Food Research Institute, 2-1-12 Kannondai, Tsukuba, Ibaraki 305-8642, Japan. #Name Shigeru Matsunaga #Name Zhesheng Wen #Name Setsuko Niimi #Name Miyuki Kumano #Name Yoshikiyo Sakakibara #Name Sachiko Machida"
18613123,2008 Dec 01,"#Name Akira Wada #Affiliation Nano Medical Engineering Laboratory, Discovery Research Institute, RIKEN, 2-1 Hirosawa, Wako, Saitama 351-0198, Japan. awada@riken.jp #Name Shinya Y Sawata #Name Yoshihiro Ito"
19228777,2009 May,"#Name Eriko Osada #Affiliation The Department of Medical Genome Sciences, Graduate School of Frontier Sciences, the University of Tokyo, Kashiwa, Chiba, Japan. #Name Yoshihiro Shimizu #Name Bintang K Akbar #Name Takashi Kanamori #Name Takuya Ueda"
20479194,2010 Aug,"#Name Fang Chen #Affiliation Department of Immunology, Wuhan University School of Medicine, Donghu Road 165, Wuhan 430071, People's Republic of China. #Name Yinglan Zhao #Name Min Liu #Name Dongqing Li #Name Hongyan Wu #Name Haidan Chen #Name Yongzhe Zhu #Name Fengling Luo #Name Jin Zhong #Name Yidan Zhou #Name Zhongtian Qi #Name Xiao-Lian Zhang"
11722894,2001 Dec,"#Name K Kjaergaard #Affiliation Microbial Adhesion Group, Section of Molecular Microbiology, BioCentrum-DTU, Technical University of Denmark, Lyngby. #Name M A Schembri #Name P Klemm"
15531628,2004 Oct,"#Name Paul H Bessette #Affiliation Department of Chemical Engineering, University of California, Santa Barbara, CA 93106, USA. #Name Jeffrey J Rice #Name Patrick S Daugherty"
16600968,2006 Apr,"#Name Jeffrey J Rice #Affiliation Department of Chemical Engineering, University of California, Santa Brabara, 93106, USA. #Name Aaron Schohn #Name Paul H Bessette #Name Kevin T Boulware #Name Patrick S Daugherty"
16448666,2006 Feb 20,"#Name Karen Y Dane #Affiliation Department of Chemical Engineering, University of California, Santa Barbara, CA 93106, USA. #Name Lisa A Chan #Name Jeffrey J Rice #Name Patrick S Daugherty"
15236241,2004 Jul 20,"#Name Corrine K Thai #Affiliation Department of Chemical Engineering, University of Washington, Seattle, Washington 98195, USA. #Name Haixia Dai #Name M S R Sastry #Name Mehmet Sarikaya #Name Daniel T Schwartz #Name François Baneyx"
17469847,2007 May,"#Name Sejal S Hall #Affiliation Department of Chemical Engineering, University of California, Santa Barbara, California 93106, USA. #Name Samir Mitragotri #Name Patrick S Daugherty"
18977188,2009 Feb,"#Name Thomas M A Gronewold #Affiliation Biosensor GmbH, Ludwig-Erhard-Allee 2, D-53175 Bonn, c/o caesar, Germany. #Name Antje Baumgartner #Name Andreas Weckmann #Name Jaqueline Knekties #Name Christian Egler"
19048606,2009 Jan,"#Name Hyoun-Ee Kim #Affiliation School of Materials Science and Engineering, Seoul National University, Seoul 151-742, Republic of Korea. #Name Hae-Won Kim #Name Jun-Hyeog Jang"
20025916,2010 Feb,"#Name Yu-jin Jeong #Affiliation BioNanotechnology Research Center, KRIBB and Nanobiotechnology Division of UST Daejeon, Republic of Korea. #Name Hyo Jin Kang #Name Kwang-Hee Bae #Name Min-Gon Kim #Name Sang J Chung"
17238208,2007 Aug 01,"#Name Eric M Krauland #Affiliation Department of Biological Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA. #Name Beau R Peelle #Name K Dane Wittrup #Name Angela M Belcher"
19863063,2009 Nov 18,"#Name Sujiet Puthenveetil #Affiliation Department of Chemistry, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, Massachusetts 02139, USA. #Name Daniel S Liu #Name Katharine A White #Name Samuel Thompson #Name Alice Y Ting"
10.1039/B806797J,2008,"#Name Yunnan Fang,  Nicole Poulsen,  Matthew B. Dickerson,  Ye Cai,  Sharon E. Jones,c  Rajesh R. Naik,c  Nils Krögerab  and  Kenneth H. Sandhage"
10.1039/B307593A,2003,"#Name Christine E. Flynn,  Chuanbin Mao,  Andrew Hayhurst,  Julie L. Williams,  George Georgiou,  Brent Iversona  and  Angela M. Belcher"
10.1002/adma.200700029,2007 Aug 02,"#Name S. R. Meyers,  P. T. Hamilton,  E. B. Walsh,  D. J. Kenan,  M. W. Grinstaff"
10.1021/cm071515t,2008 Jan 31,"#Name Matthew B. Dickerson, Sharon E. Jones, Ye Cai, Gul Ahmad, Rajesh R. Naik, Nils Kröger and Kenneth H. Sandhage #Affiliation School of Materials Science and Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332-0245, Materials and Manufacturing Directorate, Air Force Research Laboratory, Wright-Patterson AFB, Ohio 45433-7702, School of Chemistry and Biochemistry, Georgia Institute of Technology, Atlanta, Georgia 30332-0245"
12908327,2002 Feb,"#Name Rajesh R Naik #Affiliation Air Force Research Laboratory, Wright-Patterson Air Force Base, Dayton, Ohio 45433, USA. #Name Lawrence L Brott #Name Stephen J Clarson #Name Morley O Stone"
16601154,2006 May 12,"#Name Ki Tae Nam #Affiliation Department of Materials Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. #Name Dong-Wan Kim #Name Pil J Yoo #Name Chung-Yi Chiang #Name Nonglak Meethong #Name Paula T Hammond #Name Yet-Ming Chiang #Name Angela M Belcher"
14624545,2003 Nov 26,"#Name Ken-Ichi Sano #Affiliation Department of Protein Engineering, Cancer Institute, Japanese Foundation for Cancer Research, Toshima, Tokyo 170-8455, Japan. #Name Kiyotaka Shiba"
19422199,2009 May 26,"#Name Dennis B Pacardo #Affiliation Department of Chemistry, University of Kentucky, 101 Chemistry-Physics Building, Lexington, Kentucky 40506-0055, USA. #Name Manish Sethi #Name Sharon E Jones #Name Rajesh R Naik #Name Marc R Knecht"
20083240,2010 Jul,"#Name Jungok Kim #Affiliation Department of Environmental Science and Engineering, Gwangju Institute of Science and Technology, Gwangju, Republic of Korea. #Name Youngwoo Rheem #Name Bongyoung Yoo #Name Youhoon Chong #Name Krassimir N Bozhilov #Name Daehee Kim #Name Michael J Sadowsky #Name Hor-Gil Hur #Name Nosang V Myung"
20627315,2010 Oct,"#Name Christelle Vreuls #Affiliation Laboratoire de Biologie Moléculaire et de Génie Génétique, GIGA-R, B34 Sart-Tilman, University of Liège, Liège, Belgium. c.vreuls@ulg.ac.be #Name Germaine Zocchi #Name Alexis Genin #Name Catherine Archambeau #Name Joseph Martial #Name Cécile Van de Weerdt"
20383127,2010 May,"#Name Yoon Sung Nam #Affiliation Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. #Name Andrew P Magyar #Name Daeyeon Lee #Name Jin-Woong Kim #Name Dong Soo Yun #Name Heechul Park #Name Thomas S Pollom #Name David A Weitz #Name Angela M Belcher"
7892246,1995 Mar 14,"#Name M R Dyson #Affiliation Institute of Cell and Molecular Biology, University of Edinburgh, Scotland. #Name K Murray"
10456916,1999 Sep,"#Name C G Adda #Affiliation Department of Biochemistry, La Trobe University, Bundoora, Australia. #Name L Tilley #Name R F Anders #Name M Foley"
10867191,2000 Apr,"#Name B Wang #Affiliation Institute of Microbiology, Chinese Academy of Sciences, Beijing, PR China. #Name L H Ke #Name H Jiang #Name C Z Li #Name P Tien"
12021868,2002 May,"#Name P Ramanujam #Affiliation Department of Biochemistry and Microbiology, Faculty of Science and Environmental Studies, University Putra Malaysia, Selangor, Malaysia. #Name W S Tan #Name S Nathan #Name K Yusoff"
12381731,2002 Dec 27,"#Name Felomena Li #Affiliation Department of Biochemistry, La Trobe University, Bundoora, 3083 Victoria, Australia. #Name Anton Dluzewski #Name Andrew M Coley #Name Alan Thomas #Name Leann Tilley #Name Robin F Anders #Name Michael Foley"
12951030,2003 Aug 15,"#Name Anthony Amin #Affiliation Department of Infectious Disease, Wyeth Research, 401 N. Middletown Road, Pearl River, NY 10965, USA. #Name Joe Zaccardi #Name Stanley Mullen #Name Stephane Olland #Name Mark Orlowski #Name Boris Feld #Name Patrick Labonte #Name Paul Mak"
14614029,2003 Nov 01,"#Name Takuma Fujii #Affiliation Yale University, New Haven, Connecticut 06520, USA. #Name David Austin #Name David Guo #Name Srinivasan Srimatkandada #Name Tao Wang #Name Kaneyuki Kubushiro #Name Nobuo Masumoto #Name Katsumi Tsukazaki #Name Shiro Nozawa #Name Albert B Deisseroth"
15700752,2005 Jan,"#Name S Eda #Affiliation Department of Biology, University of California Riverside, Riverside, California 92521, USA. #Name I W Sherman"
15919886,2005 Jun,"#Name Richard S Larson #Affiliation UNM School of Medicine, 2325 Camino de Salud, CRF 223, Albuquerque, NM 87131, USA. rlarson@salud.unm.edu #Name David C Brown #Name Chunyan Ye #Name Brian Hjelle"
16087122,2005 Sep,"#Name Wen Siang Tan #Affiliation Department of Microbiology, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, 43400 UPM Serdang, Selangor, Malaysia. wstan@fsas.upm.edu.my #Name Geok Hun Tan #Name Khatijah Yusoff #Name Heng Fong Seow"
18430373,2008 May,"#Name Qi Zhang #Affiliation College of pharmaceutical Sciences, Nankai University, Tianjin 30071, China. #Name Gang Bai #Name Jia-Qi Chen #Name Wang Tian #Name Yu Cao #Name Peng-Wei Pan #Name Chao Wang"
21193836,2010 Dec,"#Name Hye-Won Hong #Affiliation Department of Bioscience and Biotechnology, Hankuk University of Foreign Studies, Yong-In 449-791, Korea. #Name Seong-Wook Lee #Name Heejoon Myung"
21154952,2011 Jan,"#Name Nancy Díaz-Valdés #Affiliation Division of Hepatology and Gene Therapy, Center for Applied Medical Research, University of Navarra, Pamplona, Spain. #Name Lorea Manterola #Name Virginia Belsúe #Name José I Riezu-Boj #Name Esther Larrea #Name Itziar Echeverria #Name Diana Llópiz #Name Jacinto López-Sagaseta #Name Hervé Lerat #Name Jean-Michel Pawlotsky #Name Jesús Prieto #Name Juan J Lasarte #Name Francisco Borrás-Cuesta #Name Pablo Sarobe"
10456319,1999 Aug 06,"#Name T Matsubara #Affiliation Department of Biomolecular Engineering, Tokyo Institute of Technology, Yokohama, Japan. #Name D Ishikawa #Name T Taki #Name Y Okahata #Name T Sato"
